NCT Number,Major Condition,Major Interventions,Sponsor,Phases,State,Zip Code
NCT02515227,Other,Drug,"Craig L Slingluff, Jr",PHASE1,Virginia,22908
NCT02515227,Other,Biological,"Craig L Slingluff, Jr",PHASE1,Virginia,22908
NCT02515227,Other,Drug,"Craig L Slingluff, Jr",PHASE2,Virginia,22908
NCT02515227,Other,Biological,"Craig L Slingluff, Jr",PHASE2,Virginia,22908
NCT03861091,Lung Cancer,Drug,Wake Forest University Health Sciences,PHASE2,North Carolina,27157
NCT02536794,breast Cancer,Others,Northwestern University,PHASE2,Illinois,60045
NCT02536794,breast Cancer,Biological,Northwestern University,PHASE2,Illinois,60045
NCT03770260,Blood Cancer,Drug,National Cancer Institute (NCI),PHASE1,Ohio,43210
NCT03250273,Other,Drug,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,PHASE2,Maryland,21231
NCT03699631,Other,Drug,Medical College of Wisconsin,PHASE2,Wisconsin,53226
NCT03394027,breast Cancer,Drug,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT02839720,Brain Cancer,Drug,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT02839720,Brain Cancer,Others,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT02470091,Other,Others,Children's Oncology Group,PHASE2,San Juan,00926
NCT02470091,Other,Biological,Children's Oncology Group,PHASE2,San Juan,00926
NCT04542291,Other,Drug,Washington University School of Medicine,PHASE1,Missouri,63110
NCT02713373,Other,Others,Roswell Park Cancer Institute,PHASE1,Ohio,44106
NCT02713373,Other,Biological,Roswell Park Cancer Institute,PHASE1,Ohio,44106
NCT02713373,Other,Others,Roswell Park Cancer Institute,PHASE2,Ohio,44106
NCT02713373,Other,Biological,Roswell Park Cancer Institute,PHASE2,Ohio,44106
NCT03702231,Blood Cancer,Biological,"National Heart, Lung, and Blood Institute (NHLBI)",PHASE2,Maryland,20892
NCT02636582,Other,Drug,National Cancer Institute (NCI),PHASE2,Texas,77030
NCT02636582,Other,Others,National Cancer Institute (NCI),PHASE2,Texas,77030
NCT02636582,Other,Procedure,National Cancer Institute (NCI),PHASE2,Texas,77030
NCT02636582,Other,Biological,National Cancer Institute (NCI),PHASE2,Texas,77030
NCT04185220,Blood Cancer,Drug,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT04185220,Blood Cancer,Biological,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT02286726,Blood Cancer,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02286726,Blood Cancer,Others,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02598557,Other,Drug,National Cancer Institute (NCI),PHASE2,Milano,20141
NCT02598557,Other,Others,National Cancer Institute (NCI),PHASE2,Milano,20141
NCT02598557,Other,Procedure,National Cancer Institute (NCI),PHASE2,Milano,20141
NCT03040726,Other,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03040726,Other,Others,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03040726,Other,Drug,M.D. Anderson Cancer Center,PHASE3,Texas,77030
NCT03040726,Other,Others,M.D. Anderson Cancer Center,PHASE3,Texas,77030
NCT02642965,Blood Cancer,Drug,Children's Oncology Group,PHASE1,Quebec,G1V 4G2
NCT02642965,Blood Cancer,Others,Children's Oncology Group,PHASE1,Quebec,G1V 4G2
NCT02642965,Blood Cancer,Biological,Children's Oncology Group,PHASE1,Quebec,G1V 4G2
